M,0.9,,,,,,,,,,,,,
dbd,Cdb,,,,,,,,,,,,,
0.9,0.127,0.123,0.12,0.118,0.115,0.112,0.112,0.128,0.139,0.148,0.154,0.16,0.166,0.176
1,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207
M,1.3,,,,,,,,,,,,,
dbd,Cdb,,,,,,,,,,,,,
beta,3,4,5,6,8,10,12,14,16,18,20,25,30,45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.002,0.001,0,0,-0.001,-0.002,-0.003,-0.004,-0.004,-0.004,-0.004,-0.002,0.002,0.004
0.2,0.005,0.004,0.002,0,-0.001,-0.002,-0.004,-0.004,-0.004,-0.004,-0.004,-0.001,0.006,0.012
0.3,0.01,0.008,0.005,0.003,0,-0.001,-0.002,-0.003,-0.003,-0.003,-0.001,0.005,0.014,0.022
0.4,0.018,0.014,0.009,0.008,0.004,0.002,0,0,0,0.001,0.004,0.016,0.027,0.035
0.5,0.029,0.022,0.017,0.014,0.01,0.008,0.006,0.006,0.007,0.008,0.014,0.032,0.043,0.051
0.6,0.042,0.036,0.03,0.025,0.021,0.017,0.015,0.017,0.019,0.024,0.034,0.053,0.062,0.07
0.7,0.062,0.055,0.048,0.044,0.038,0.033,0.03,0.034,0.038,0.05,0.061,0.079,0.086,0.095
0.8,0.087,0.082,0.077,0.073,0.068,0.062,0.06,0.066,0.074,0.086,0.096,0.11,0.115,0.123
0.9,0.124,0.12,0.117,0.115,0.111,0.108,0.105,0.116,0.122,0.13,0.137,0.146,0.15,0.154
1,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192
